# Signals for the addresses in data/addresses.csv, written by scripts/collect.ts.
# Committed on purpose: it is the evidence behind every calibrated number.
# Diversity and cadence are windowed over the last <= 150 transactions.
# funding_class: exchange | mixer | sanctioned | unknown | none. See src/funding.ts
# for where each list came from and what it does and does not prove.
address,label,first_seen,age_days,tx_count,distinct_counterparties,txs_24h,txs_7d,window_size,burst_ratio,funding_class,funding_source,fetched_at,blockscout_url
0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,mid,2023-08-08T21:40:27.000Z,1103.25,37157,1,0,150,150,2,unknown,0x3c95f06542dcf6490263b2754a7f3dd9bcea0f9f,2026-08-16T03:39:54.159Z,https://base.blockscout.com/address/0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045
0xf7256eD518fa3A8b1dDb2bBb0Cd0071617df7bF4,established,2023-07-14T17:01:53.000Z,1128.44,710,56,0,5,150,173.67,unknown,0x921ee338335af0532931a351c3a408c501e71fef,2026-08-16T03:39:58.198Z,https://base.blockscout.com/address/0xf7256eD518fa3A8b1dDb2bBb0Cd0071617df7bF4
0x3c95f06542dcf6490263B2754a7F3dd9bCea0F9f,established,2023-07-24T19:44:19.000Z,1118.33,90,58,0,0,90,6.29,unknown,0x80c67432656d59144ceff962e8faf8926599bcf8,2026-08-16T03:40:04.096Z,https://base.blockscout.com/address/0x3c95f06542dcf6490263B2754a7F3dd9bCea0F9f
0xA7B9874D15742358fB455Dd56f97C6d19ad74f5C,established,2023-08-15T22:50:33.000Z,1096.2,182665,30,150,150,150,152,unknown,0xff8cdde1d6d2d9925cc13ac3bbc44685dec43582,2026-08-16T03:40:11.046Z,https://base.blockscout.com/address/0xA7B9874D15742358fB455Dd56f97C6d19ad74f5C
0xDFaa75323fB721e5f29D43859390f62Cc4B600b8,established,2023-10-03T07:15:51.000Z,1047.85,48807,49,150,150,150,68.5,unknown,0x260ef7e1eb4c09d11432893d3ab12dabd6553fc8,2026-08-16T03:40:12.682Z,https://base.blockscout.com/address/0xDFaa75323fB721e5f29D43859390f62Cc4B600b8
0xeA258496a9311Ffe29CDf920Ca0E8BB4B41c9F04,established,2024-10-27T18:59:13.000Z,657.36,49168,3,150,150,150,28.5,exchange,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,2026-08-16T03:40:20.466Z,https://base.blockscout.com/address/0xeA258496a9311Ffe29CDf920Ca0E8BB4B41c9F04
0x2CfF890f0378a11913B6129B2E97417a2c302680,established,2024-11-06T11:42:25.000Z,647.67,630990,45,150,150,150,32,exchange,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,2026-08-16T03:40:28.762Z,https://base.blockscout.com/address/0x2CfF890f0378a11913B6129B2E97417a2c302680
0x4c2c0F0bB2631B02aC9299C59690914ee7A200B8,established,2024-12-27T18:50:51.000Z,596.37,125731,16,24,150,150,2.03,unknown,0x2ae2182f745b10ab9c11ddaace4028930cc63e93,2026-08-16T03:40:37.680Z,https://base.blockscout.com/address/0x4c2c0F0bB2631B02aC9299C59690914ee7A200B8
0x016ae4d6f575CEE1f095F84B780135E5b3DEBA3d,established,2025-03-23T11:53:23.000Z,510.66,4166,1,150,150,150,3,unknown,0x1133c5f3a6417dfe5bbd437459b5ed2ed7ebb67c,2026-08-16T03:40:45.099Z,https://base.blockscout.com/address/0x016ae4d6f575CEE1f095F84B780135E5b3DEBA3d
0x1f8083E217729Ec694a6Cd2C62601Fb728881E38,established,2025-04-30T23:24:59.000Z,472.18,1593,42,2,4,150,12.36,unknown,0xa8bcbd3f5ef7aca3ae330b7650f1687ede956862,2026-08-16T03:40:46.962Z,https://base.blockscout.com/address/0x1f8083E217729Ec694a6Cd2C62601Fb728881E38
0xAdC589Cf19296310f7E019Cf259f5f5469CdD093,established,2025-07-07T23:25:41.000Z,404.18,10698,1,150,150,150,3,unknown,0x27634b02bcbbe248e02c54870393da92a8ea2e7d,2026-08-16T03:40:53.486Z,https://base.blockscout.com/address/0xAdC589Cf19296310f7E019Cf259f5f5469CdD093
